Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2021-12-08,84.45630275246123,84.67370883504658,84.21999524212333,84.52246856689453,10000,0.0,0.0,0.0
2021-12-09,84.05929715291049,84.39958050135223,83.64339368003013,84.04984283447266,13000,0.0,0.0,0.0
2021-12-10,84.18217683175439,84.3617728295019,83.81353772908587,84.30506134033203,43900,0.0,0.0,0.0
2021-12-13,84.25291005218645,84.25291005218645,83.4659410094825,83.94001770019531,38500,0.275,0.0,0.0
2021-12-14,83.75987600802375,83.98743805445825,82.48935380103127,82.5746841430664,22700,0.0,0.0,0.0
2021-12-15,82.62208748947491,83.4375,81.95838299664584,83.4375,15500,0.0,0.0,0.0
2021-12-16,84.11068854028854,84.4709842336519,83.71246584228116,84.07276153564453,23300,0.0,0.0,0.0
2021-12-17,84.01587452834634,84.47098411576636,83.54179782171255,83.6460952758789,26500,0.0,0.0,0.0
2021-12-20,82.41349155210656,82.41349155210656,80.83007711483405,81.51274871826172,41200,0.0,0.0,0.0
2021-12-21,82.36609378969695,82.36609378969695,81.65497869370137,82.22386932373047,60300,0.0,0.0,0.0
2021-12-22,82.08164055422401,83.42801666259766,82.08164055422401,83.42801666259766,7000,0.0,0.0,0.0
2021-12-23,83.36164461308039,83.91157531738281,83.36164461308039,83.91157531738281,9000,0.0,0.0,0.0
2021-12-27,84.20550163964523,84.7459487915039,84.14861475013475,84.7459487915039,10300,0.0,0.0,0.0
2021-12-28,85.07780995978548,85.68462757273367,85.07780995978548,85.57084655761719,32600,0.0,0.0,0.0
2021-12-29,85.57085016522454,86.99308036187648,85.57085016522454,86.98359680175781,21500,0.0,0.0,0.0
2021-12-30,87.19219514710443,87.70419890607603,86.84137574729874,86.88878631591797,33600,0.0,0.0,0.0
2021-12-31,86.9267168073704,87.32493955791573,86.66123497367352,87.22064208984375,17800,0.0,0.0,0.0
2022-01-03,87.06892189683938,87.18269566661043,86.09232512584693,86.68965911865234,18000,0.0,0.0,0.0
2022-01-04,86.79395845079156,87.27751868434072,86.76551500773031,86.85084533691406,33600,0.0,0.0,0.0
2022-01-05,87.44819210334258,87.84641479904,86.044921875,86.044921875,43900,0.0,0.0,0.0
2022-01-06,85.99750573044345,86.78447474504149,85.93113528546746,86.42417907714844,31100,0.0,0.0,0.0
2022-01-07,86.49055846222646,87.16374654052011,86.32937411260052,87.04048919677734,9600,0.0,0.0,0.0
2022-01-10,86.07336789139323,86.3388496964564,85.0872874484181,85.96907043457031,27400,0.0,0.0,0.0
2022-01-11,86.24403410899029,87.5524832227987,85.97855230913089,87.54300689697266,50400,0.0,0.0,0.0
2022-01-12,88.01707379769985,89.20226543916246,87.71366502683885,89.12641143798828,29100,0.0,0.0,0.0
2022-01-13,89.78065326337598,90.33057677136449,89.42035031963817,89.6099853515625,43100,0.0,0.0,0.0
2022-01-14,89.04109792462077,89.04109792462077,87.65678746023406,88.21620178222656,31300,0.0,0.0,0.0
2022-01-18,87.44820021197849,87.44820021197849,85.61826367339867,86.25352478027344,48600,0.0,0.0,0.0
2022-01-19,87.25855536315645,87.70418861406877,86.94566300819636,86.96463012695312,24900,0.0,0.0,0.0
2022-01-20,86.98359755327512,87.3439005025288,85.1915880687181,85.2295150756836,39600,0.0,0.0,0.0
2022-01-21,84.83127811995266,84.85972156194518,82.77378716568863,83.02030181884766,36900,0.0,0.0,0.0
2022-01-24,81.69290924912859,83.22891329355076,80.56460426630517,82.98239135742188,67600,0.0,0.0,0.0
2022-01-25,82.65053081564193,83.56075721900169,81.33259815760513,83.01083374023438,28400,0.0,0.0,0.0
2022-01-26,83.89261881875153,84.03483604643563,81.8161604885244,82.29972076416016,21800,0.0,0.0,0.0
2022-01-27,82.58415781768518,83.93053387898726,81.92993690555176,82.20489501953125,15400,0.0,0.0,0.0
2022-01-28,81.92993829135399,83.57972317231722,81.45586159410186,83.47542572021484,35300,0.0,0.0,0.0
2022-01-31,83.69349413327015,84.85972595214844,83.69349413327015,84.85972595214844,15300,0.0,0.0,0.0
2022-02-01,85.39068997274178,85.80787976932073,84.67009862171501,85.72254943847656,30900,0.0,0.0,0.0
2022-02-02,86.1587119412043,86.37678319726015,85.56137060105742,86.22508239746094,13300,0.0,0.0,0.0
2022-02-03,85.46654855116962,86.74655421917194,85.46654855116962,86.02596282958984,74200,0.0,0.0,0.0
2022-02-04,85.49499338717176,86.04492411488077,84.82180531725348,85.55188751220703,13900,0.0,0.0,0.0
2022-02-07,85.85529500306772,86.34833159816924,85.13469637899333,85.79840087890625,72000,0.0,0.0,0.0
2022-02-08,85.95010894095557,87.52403985603299,85.84581148608362,87.31544494628906,25100,0.0,0.0,0.0
